No.	Student Number	Student Name	DoB	Email Address	Gender	Email
1	136603	Adhiambo, Jane Daisy	2003-03-04		F	jadhiambo@gmail.com
2	142285	Ali, Sumeiya Abdulle Abdirizak	2002-05-01		F	sali@gmail.com
3	146072	Asava, Wayne Majani	2002-11-03		M	wasava@gmail.com
4	145210	Barasa, Michelle Nekesa	2000-06-25		F	mbarasa@gmail.com
5	143496	Bigingi, Ian Duncan	2003-04-19		M	ibigingi@gmail.com
6	146171	Cheboi, Lormotum Noel	2000-07-21		M	lcheboi@gmail.com
7	145835	Dulo, Humphrey James	2002-04-22		M	hdulo@gmail.com
8	146565	Etemesi, Caleb Asira	2003-02-04		M	cetemesi@gmail.com
9	136046	Frances, Ayango	2001-11-25		F	afrances@gmail.com
10	146399	Gitau, Sandra Wanjiru	2003-01-11		F	sgitau@gmail.com
11	146424	Hassan, Masoud Ali	2001-09-22		M	mhassan@gmail.com
12	145279	Kabui, Michelle Miceere	2002-02-27		F	mkabui@gmail.com
13	145491	Kamau, Edinah Nyambura	2003-02-08		F	ekamau@gmail.com
14	137991	Kamau, Jesse Mbugua	2003-08-14		M	jkamau@gmail.com
15	146013	Karani, Amanda Ngendo	2002-12-23		F	akarani@gmail.com
16	145212	Kathurima, Ryan Kinoti	2000-04-28		M	rkathurima@gmail.com
17	145802	Kennedy, Angel Venoliah	2001-12-25		F	akennedy@gmail.com
18	136395	Kiilu, Jeff Kioko	2002-12-28		M	jkiilu@gmail.com
19	137503	Kiiru, Cynthia Everlyn Muthoni	2001-12-05		F	ckiiru@gmail.com
20	141690	Kimani, Alex Mwangi	2002-06-18		M	akimani@gmail.com
21	128576	Kinegeni, Terry	2000-12-09		F	tkinegeni@gmail.com
22	145602	Kyalo, Felicia Mutheu	2001-03-03		F	fkyalo@gmail.com
23	138216	Leting, Sylvester Kiplagat	2003-12-15		M	sleting@gmail.com
24	139991	Lihanda, Glen Musa	2003-11-26		M	glihanda@gmail.com
25	144915	Mahia, Jerome Kamau	2003-11-26		M	jmahia@gmail.com
26	115104	Mbugua, Nathan Ng'ethe	2002-06-26		M	nmbugua@gmail.com
27	139074	Mbwanga, Emmanuel Chivunira	2002-11-07		M	embwanga@gmail.com
28	92313	Moire, Henry Nyakundi	2003-04-07		M	hmoire@gmail.com
29	129029	Morara, Keith Matwere	2000-08-26		M	kmorara@gmail.com
30	138583	Muchiri, Lynn Wairimu	2001-07-22		F	lmuchiri@gmail.com
31	144338	Mugendi, Emmanuel Muthomi	2000-08-16		M	emugendi@gmail.com
32	140091	Mukiri, Maryanne Wanjiku	2000-10-13		F	mmukiri@gmail.com
33	145351	Mungai, Kihanya	2000-09-10		M	kmungai@gmail.com
34	145836	Musyoka, Brian Kioko	2002-07-10		M	bmusyoka@gmail.com
35	139133	Mutende, Arabella Fanisheba	2002-05-06		F	amutende@gmail.com
36	145703	Mutinda, Bryan Lwaya	2003-06-01		M	bmutinda@gmail.com
37	146016	Mwago, Megan Dette	2001-08-14		F	mmwago@gmail.com
38	145041	Mwai, David King	2000-02-28		M	dmwai@gmail.com
39	145646	Nalugala, Venessa Chebukwa	2001-11-13		F	vnalugala@gmail.com
40	145813	Ndirangu, Denise Nyambura	2002-12-08		F	dndirangu@gmail.com
41	139149	Ngahu, David Gitonga	2000-08-09		M	dngahu@gmail.com
42	141733	Ngari, Sifa Gathoni	2003-06-15		F	sngari@gmail.com
43	134321	Nguthiru, Edwin Ndiritu	2001-01-04		M	enguthiru@gmail.com
44	145354	Nyamosi, Edmond Omwega	2001-04-12		M	enyamosi@gmail.com
45	145536	Nyang'or, Olive Menorah	2002-07-12		F	onyangor@gmail.com
46	122993	Omal, Warren	2003-07-08		M	womal@gmail.com
47	145182	Omondi, Emmanuel Neville	2003-11-16		M	eomondi@gmail.com
48	146533	Omondi, Winfred Achieng	2000-06-18		F	womondi@gmail.com
49	131778	Otao, Davis Mokora	2001-06-04		M	dotao@gmail.com
50	146202	Rintaugu, Mugambi Nteere	2000-05-28		M	mrintaugu@gmail.com
51	146413	Rotich, Mercy Chepngetich	2003-07-10		F	mrotich@gmail.com
52	146254	Sehmi, Singh Jeevan	2001-01-24		M	ssehmi@gmail.com
53	144914	Vasani, Aman Upinkumar	2002-12-26		M	avasani@gmail.com
54	135361	Wafula, Gideon Simiyu	2003-12-15		M	gwafula@gmail.com
55	145770	Wahu, Bridget Makena	2002-04-10		F	bwahu@gmail.com
56	145369	Wango, Michael Mundati	2002-12-06		M	mwango@gmail.com
57	137938	Wangombe, Martin Mwangi	2002-08-08		M	mwangombe@gmail.com
58	145838	Wanyonyi, Brian Newton	2002-02-17		M	bwanyonyi@gmail.com
59	138616	Wasike, Nicole Jones Nekesa	2003-11-20		F	nwasike@gmail.com
